UserId,ProductId,Rating
A34EQAIKKUWYYW,97880,5
A3UQXHI88S7XAX,97880,5
AA394CGT3GNYH,97880,2
A9MYCYZT8EMMX,97880,5
A1KEIWYH8085EZ,97880,2
A1GNZ4F1S6VTSH,97880,5
ATRSMN161M9GU,97880,5
A2IW10BPHCYQG2,97880,2
A2DMIEUMKD3VYD,97880,5
A33MKXDOOI6T0R,97880,4
AGBK2UBSBV0OR,97880,5
A1O8JBGRANCVEO,97880,2
AA75INOMAHULX,97880,5
AHH534KJMCNRF,97880,3
A1AM1BP28NQXLF,97880,5
AQVFWCBC5AXZS,97880,2
A1QV5IH6HDRN0L,97880,5
A3UQXHI88S7XAX,97880,5
A2EK2CJNJUF7OQ,97880,5
A2GWNGQF9SHRE4,97880,5
ABV67T136UXFQ,97880,5
AC1FTP0718XJ2,97880,5
A1EQMKGBI0NK71,97880,3
A2MQ9OGYO9PFGM,97880,4
A5VR137GUB7JQ,97880,5
A3BZHI48MZWE7D,97880,3
A2K3J2X8KDY47N,97880,5
AFERMR9RNPIWQ,97880,5
A197BFZ8BSVSO2,97880,5
A3KEZLJ59C1JVH,97880,5
A24N4FKHGD7DWT,97880,2
A1NUF0VO9F4DA5,97880,5
A3A36DP9IJPRPF,97880,5
A3KEZLJ59C1JVH,97880,5
AP8RB98O4BHCI,97880,4
A37J8XKLNOX2RO,97880,5
A3ABTLXPQP73TB,97880,3
A3DXBLP5Q1KRQA,97880,3
A32ZIX6JXPJX3O,97880,4
AAXLAV096NKIL,97907,1
A1ESDW5VX6B73Q,97907,5
ASDYXS80RUUO0,97907,4
ANJZ5ZHBL3IW7,97907,5
AE1TYBYU5DEO9,97907,5
A3U80NITRNK3H8,97907,5
AIGO7WT50WPS8,97907,5
A1J3MJER08S0RE,97907,5
A3SYJB7D8UMZGL,97907,5
A3AG3ZHG78N4M5,97907,5
A1AQ8JT2A3UWMY,97907,1
A3UL9L5O3EQ4ML,97907,5
AB48BRXHZ7OVZ,97907,4
A28GT8K15D0LIS,97907,5
A2XKJ1KX6XUHYP,97907,1
AFERMR9RNPIWQ,97907,4
A522HDFW2AVWV,97907,4
A2J4O74MT63W6G,97907,5
A2DSLV44VUA973,97907,4
A2CQEBRX5NFCU9,97907,5
A32ZIX6JXPJX3O,97907,4
AC656K7PC6P4W,97907,3
ACC8CUTMSPANM,97907,5
A391OOGZ9TPB5,97907,5
A3I291BE0RNZCU,97907,5
A3PTZFRD34YJ2P,97907,3
A1YNHL97QBYWGA,97907,5
A3T3Q3VDIP04AD,97907,5
A3ESTWDBNOUJQ7,97907,5
A2CYSK76Z9PS64,97907,5
A21CRF1CS7EOAB,97907,5
A22KF5KPBPD872,97907,1
A1645OHG1L9K34,97907,4
A1BM7SFYKDAHPQ,97907,2
A2C58G8O40YC7T,97907,4
A1G5FIEA40QCT4,97907,5
A1E89L5LR30QH4,97907,4
A21936E2ZRY72J,97907,5
A2Q5455Q06P7R1,97907,5
A13GJE62PDFLKA,97907,5
AOGA7F2ZJ306H,97907,5
A1EFZ4JPO69VXA,97907,5
A2VSZ5ZR43KDE8,97907,5
A2FQZKL2KIZACO,97907,5
A312RDWQYLAG7S,97907,3
A3TYR1ALBZ2EU9,97907,5
AUYVMLI0CBMYS,97907,5
A2MZDI3I5AEL74,97907,3
A36VBDV1HKMIIV,97907,5
A1CI63P473W5RJ,97907,5
AEMV9IMH665B9,97907,5
A3JMYXR4RIWSH0,97907,5
A1WNKB3URF1XM1,97907,5
A17PVB3HRDWN2B,97907,3
A3R9H6OKZHHRJD,97907,4
A35QGS8D3I65NL,97907,5
A2II54B3VA45LN,97907,2
A2W0O92FZFHJOJ,97907,4
ARXL1MF07FKY3,97907,5
ASLNW5TPXJ6M6,97907,3
A1EGCED01USBA9,97907,5
A3GU3CXHONZJQ6,97907,5
A35RMU1VDEJRAZ,97907,3
A1FED0XVJWSY8R,97907,3
A35ID2TBM9HU5V,97907,3
A1AA39TTTQPYEH,97907,4
A27ZTNAOOODGSZ,97907,5
A15XLPZ298EZVK,97907,5
A36RO7NCM6IUGB,97907,5
A3PYMW0LCZUJR6,97907,1
A3IMBPNQYEZUWC,97907,4
A26NMR5AI4B2QP,97907,5
A1OVD6VCG9NN35,97907,1
A237SSH93EWQ45,97907,1
A3J6V6FWETLBDU,B0000,2
A3M174IC0VXOS2,B0000,4
A2TKWMX4563NR6,B0000,5
AVM6OR01CPJNQ,B0000,2
A1ISPXMZL1IYSE,B0000,2
A16NAH39LN211W,B0000,5
A34M18U6T33YDZ,B0000,5
AY8MX1BFYICXC,B0000,5
A8TWSBLUYJR0U,B0000,5
AUJZEJ5KJU6OQ,B0000,1
A2EVBQAN92IEZS,B0000,1
A2VOGNBUMXSW13,B0000,2
A2SPAROS5PSI8X,B0000,4
AX1567KGMAVLT,B0000,5
AQX8T9SFFK43U,B0000,4
A1LOO17JCLZG96,B0000,2
A2ZQE4X9GYJMRI,B0000,5
A38VDDNZ7A3QM0,B0000,5
AIBDCIWC061A,B0000,4
A1S8KORSO7AL10,B0000,3
A2X0X13NTPOZN1,B0000,4
A66XG9X8S7IH,B0000,4
A1D94IJBAPKVYV,B0000,5
A3B7900K4X1AY5,B0000,5
A2RQOO8VYAEZZG,B0000,3
A2LI8L6O4M0G1K,B0000,5
A26869WFGMMZHM,B0000,5
A1B89QLQZICCYG,B0000,5
AW2CYR1UFNI1R,B0000,1
A2A536AF97J8JJ,B0000,5
A1NEIH01B5X6QL,B0000,5
A2AMFW65LLALFI,B0000,5
A220H1HPW0BU20,B0000,5
A1IEAGLB6LMSVM,B0000,5
A265CA7CZPYQ65,B0000,5
A30M14LS4G1I1Z,B0000,5
A1JPXK38UHUSP7,B0000,5
A1OA7ZKRQH98C8,B0000,5
A2HRHF83I3NDGT,B0000,5
A2P99LRDXBF8NF,B0000,4
AMYBVJ1JP667H,B0000,5
AY1EF0GOH80EK,B0000,5
A1J7CRZ4OJ1T2L,B0000,5
AD526SECC3I9D,B0000,5
A3AZI828WJN1CD,B0000,4
AA18FCD10SAC4,B0000,5
A14VNXS7M0JO5K,B0000,4
A3VU2J7G0U35AU,B0000,5
A2K3A3HA229ZVN,B0000,5
A287547UH1VBJ7,B0000,4
ASXPNU896V9I8,B0000,5
A3S3R88HA0HZG3,B0000,5
AD526SECC3I9D,B0000,5
A3VU2J7G0U35AU,B0000,5
A1LR48HRU3LSHF,B0000,5
A3O0BXK3SZ6FE0,B0000,5
A2PR6NXG0PA3KY,B0000,5
A2X06TY0EIBGCY,B0000,4
A26CEJL5AR4U3B,B0000,3
AEEJGDRRGLBB1,B0000,2
A2K6LI89NAD2J2,B0000,5
A1P9UMP1XSE6MI,B0000,5
A4WX0FZ1MMAUH,B0000,5
AHP55PFHJL0H8,B0000,2
A3T4OHEAHOJ700,B0000,5
A3TQZLWYCQXLCQ,B0000,5
A2RUV6V9CWZAA0,B0000,3
A17V9XL4CWTQ6G,B0000,5
A2X5QDOMVGWFUC,B0000,3
A2S6QCNNN8AK91,B0000,5
A33AQPJYH7UUXR,B0000,3
A2YR1V9QJRC2P1,B0000,4
A2T0BXKW56SBH9,B0000,5
A3A5N8WWYSTF5B,B0000,4
A1SQW9H85UVYNU,B0000,5
A3L08GAGMQR5QL,B0000,5
A1H2M09FY6B9LR,B0000,1
A27DNSEA1L04L2,B0000,4
A3PHEK78LJRZLW,B0000,4
A22CW0ZHY3NJH8,B0000,2
AR18PHLJDG19R,B0000,4
ABAHRPQTOEP8L,B0000,5
A3ACCVELQ149WV,B0000,5
AWXNJ01KHLU3B,B0000,5
A9JG8QKH3NWFJ,B0000,5
